status_id,status_type,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,Column1,Column2,Column3,Column4
246675545449582_1649696485147474,video,2018-04-22 06:00:00,529,512,262,432,92,3,1,1,0,,,,
246675545449582_1649426988507757,photo,2018-04-21 22:45:00,150,0,0,150,0,0,0,0,0,,,,
246675545449582_1648730588577397,video,2018-04-21 06:17:00,227,236,57,204,21,1,1,0,0,,,,
246675545449582_1648576705259452,photo,2018-04-21 02:29:00,111,0,0,111,0,0,0,0,0,,,,
246675545449582_1645700502213739,photo,2018-04-18 03:22:00,213,0,0,204,9,0,0,0,0,,,,
246675545449582_1645650162218773,photo,2018-04-18 02:14:00,217,6,0,211,5,1,0,0,0,,,,
246675545449582_1645564175560705,video,2018-04-18 00:24:00,503,614,72,418,70,10,2,0,3,,,,
246675545449582_1644824665634656,video,2018-04-17 07:42:00,295,453,53,260,32,1,1,0,1,,,,
246675545449582_1644655795651543,photo,2018-04-17 03:33:00,203,1,0,198,5,0,0,0,0,,,,
246675545449582_1638788379571618,photo,2018-04-11 04:53:00,170,9,1,167,3,0,0,0,0,,,,
246675545449582_1637655039684952,photo,2018-04-10 01:01:00,210,2,3,202,7,1,0,0,0,,,,
246675545449582_1636730006444122,photo,2018-04-09 02:06:00,222,4,0,213,5,4,0,0,0,,,,
246675545449582_1635846033199186,photo,2018-04-08 05:10:00,313,4,2,305,6,2,0,0,0,,,,
246675545449582_1635730986544024,photo,2018-04-08 02:23:00,209,4,0,200,8,1,0,0,0,,,,
246675545449582_1632874756829647,photo,2018-04-05 09:23:00,346,11,0,335,10,1,0,0,0,,,,
246675545449582_1628507150599741,video,2018-04-01 05:16:00,332,100,30,303,23,1,5,0,0,,,,
246675545449582_1626584134125376,video,2018-03-30 08:28:00,135,256,79,117,18,0,0,0,0,,,,
246675545449582_1622470701203386,video,2018-03-26 08:28:00,150,173,47,132,16,1,0,1,0,,,,
246675545449582_1619188648198258,video,2018-03-23 07:09:00,221,166,36,192,28,0,1,0,0,,,,
246675545449582_1617858078331315,photo,2018-03-22 01:25:00,152,2,0,149,3,0,0,0,0,,,,
246675545449582_1617109651739491,photo,2018-03-21 08:40:00,234,15,1,221,12,1,0,0,0,,,,
246675545449582_1617051285078661,photo,2018-03-21 07:46:00,227,7,1,217,7,2,1,0,0,,,,
246675545449582_1615645795219210,photo,2018-03-20 01:54:00,98,0,0,96,0,2,0,0,0,,,,
246675545449582_1615629888554134,video,2018-03-20 01:28:00,18,0,0,18,0,0,0,0,0,,,,
246675545449582_1615585301891926,photo,2018-03-20 00:15:00,102,0,0,100,0,2,0,0,0,,,,
246675545449582_1615510251899431,video,2018-03-19 22:34:00,37,0,1,37,0,0,0,0,0,,,,
246675545449582_1612677855516004,video,2018-03-17 08:07:00,75,36,14,70,5,0,0,0,0,,,,
246675545449582_1612652492185207,video,2018-03-17 07:47:00,90,78,9,85,5,0,0,0,0,,,,
246675545449582_1607114469405676,photo,2018-03-12 05:51:00,145,9,0,138,7,0,0,0,0,,,,
246675545449582_1603834916400298,video,2018-03-09 07:45:00,253,300,31,229,22,1,1,0,0,,,,
246675545449582_1603743213076135,photo,2018-03-09 05:55:00,85,0,0,81,2,2,0,0,0,,,,
246675545449582_1601965753253881,video,2018-03-07 13:10:00,45,14,0,40,5,0,0,0,0,,,,
246675545449582_1601596129957510,photo,2018-03-07 06:13:00,92,0,0,85,4,2,1,0,0,,,,
246675545449582_1601516779965445,photo,2018-03-07 04:46:00,125,1,0,116,8,1,0,0,0,,,,
246675545449582_1599664246817365,photo,2018-03-05 08:32:00,119,4,0,116,3,0,0,0,0,,,,
246675545449582_1599393216844468,photo,2018-03-05 02:48:00,293,8,0,281,11,1,0,0,0,,,,
246675545449582_1596564337127356,video,2018-03-02 09:55:00,128,137,26,110,16,2,0,0,0,,,,
246675545449582_1594428064007650,photo,2018-02-28 08:19:00,84,15,13,78,5,1,0,0,0,,,,
246675545449582_1594137564036700,photo,2018-02-28 01:43:00,66,11,6,61,4,1,0,0,0,,,,
246675545449582_1592459934204463,video,2018-02-26 08:50:00,171,292,28,150,19,1,1,0,0,,,,
246675545449582_1591545580962565,video,2018-02-25 10:13:00,90,72,23,79,10,1,0,0,0,,,,
246675545449582_1587015831415540,video,2018-02-21 00:19:00,139,39,9,121,16,1,1,0,0,,,,
246675545449582_1585003828283407,video,2018-02-19 00:11:00,236,181,21,201,33,0,1,0,1,,,,
246675545449582_1584252028358587,video,2018-02-18 07:15:00,225,210,34,193,30,0,2,0,0,,,,
246675545449582_1583900568393733,photo,2018-02-17 22:30:00,275,12,0,260,11,4,0,0,0,,,,
246675545449582_1583080255142431,video,2018-02-17 04:15:00,372,456,37,334,31,1,1,1,4,,,,
246675545449582_1580958342021289,photo,2018-02-15 03:47:00,445,9,0,419,23,3,0,0,0,,,,
246675545449582_1580162495434207,video,2018-02-14 08:23:00,128,60,11,114,13,0,0,0,1,,,,
246675545449582_1578866802230443,video,2018-02-13 01:16:00,186,235,46,163,19,0,3,0,1,,,,
246675545449582_1577938978989892,video,2018-02-12 03:28:00,309,444,36,254,42,2,8,3,0,,,,
246675545449582_1577078175742639,photo,2018-02-11 05:55:00,77,11,3,75,2,0,0,0,0,,,,
246675545449582_1576207142496409,video,2018-02-10 07:54:00,119,72,28,103,16,0,0,0,0,,,,
246675545449582_1574973649286425,photo,2018-02-09 01:48:00,100,21,13,95,5,0,0,0,0,,,,
246675545449582_1574253679358422,video,2018-02-08 09:14:00,240,255,111,193,44,1,1,0,1,,,,
246675545449582_1573231492793974,video,2018-02-07 08:35:00,164,136,48,146,15,2,0,1,0,,,,
246675545449582_1572311072886016,video,2018-02-06 08:46:00,202,327,42,171,30,1,0,0,0,,,,
246675545449582_1571313049652485,video,2018-02-05 09:20:00,211,284,46,186,25,0,0,0,0,,,,
246675545449582_1570062096444247,video,2018-02-04 03:25:00,148,114,16,136,10,0,2,0,0,,,,
246675545449582_1569275653189558,video,2018-02-03 08:34:00,97,81,16,84,13,0,0,0,0,,,,
246675545449582_1568291729954617,video,2018-02-02 09:24:00,279,292,34,254,20,3,1,1,0,,,,
246675545449582_1568182719965518,photo,2018-02-02 07:08:00,263,8,0,245,14,4,0,0,0,,,,
246675545449582_1568125783304545,video,2018-02-02 06:01:00,177,193,34,151,25,1,0,0,0,,,,
246675545449582_1563157113801412,photo,2018-01-28 07:50:00,517,32,1,484,26,7,0,0,0,,,,
246675545449582_1563042160479574,video,2018-01-28 05:25:00,289,258,33,256,33,0,0,0,0,,,,
246675545449582_1561427387307718,photo,2018-01-26 13:03:00,66,13,0,65,1,0,0,0,0,,,,
246675545449582_1561426890641101,photo,2018-01-26 13:02:00,112,6,0,104,8,0,0,0,0,,,,
246675545449582_1561178647332592,video,2018-01-26 08:47:00,206,259,48,181,22,1,2,0,0,,,,
246675545449582_1560153374101786,video,2018-01-25 08:40:00,362,468,86,305,56,0,0,1,0,,,,
246675545449582_1558134034303720,video,2018-01-23 09:04:00,184,130,51,161,23,0,0,0,0,,,,
246675545449582_1557086421075148,video,2018-01-22 09:37:00,216,251,34,199,16,0,0,0,1,,,,
246675545449582_1557066321077158,video,2018-01-22 09:15:00,57,0,0,56,1,0,0,0,0,,,,
246675545449582_1556033787847078,video,2018-01-21 09:10:00,272,258,43,226,44,1,1,0,0,,,,
246675545449582_1555610941222696,video,2018-01-20 23:10:00,248,247,34,208,33,3,2,0,2,,,,
246675545449582_1555011641282626,video,2018-01-20 09:08:00,132,89,40,110,20,1,0,0,1,,,,
246675545449582_1553995058050951,video,2018-01-19 09:16:00,226,341,41,196,30,0,0,0,0,,,,
246675545449582_1553987821385008,video,2018-01-19 09:06:00,35,1,0,35,0,0,0,0,0,,,,
246675545449582_1552962021487588,video,2018-01-18 08:54:00,219,316,36,170,46,3,0,0,0,,,,
246675545449582_1552783698172087,video,2018-01-18 05:08:00,94,1,1,94,0,0,0,0,0,,,,
246675545449582_1551983908252066,video,2018-01-17 09:29:00,259,368,50,234,25,0,0,0,0,,,,
246675545449582_1551534661630324,video,2018-01-16 22:36:00,62,1,0,62,0,0,0,0,0,,,,
246675545449582_1551514168299040,video,2018-01-16 22:13:00,127,76,21,114,13,0,0,0,0,,,,
246675545449582_1550682265048897,video,2018-01-16 00:53:00,149,63,15,134,15,0,0,0,0,,,,
246675545449582_1548244011959389,video,2018-01-13 09:18:00,134,171,41,116,18,0,0,0,0,,,,
246675545449582_1546364775480646,video,2018-01-11 09:05:00,392,461,47,360,32,0,0,0,0,,,,
246675545449582_1545432958907161,video,2018-01-10 08:57:00,310,540,41,284,26,0,0,0,0,,,,
246675545449582_1537523323031458,photo,2018-01-02 23:05:00,14,3,0,12,2,0,0,0,0,,,,
246675545449582_1530240427093081,photo,2017-12-26 06:23:00,293,6,1,275,15,3,0,0,0,,,,
246675545449582_1527322154051575,photo,2017-12-24 10:28:00,236,12,0,226,8,1,1,0,0,,,,
246675545449582_1521905564593234,photo,2017-12-21 08:14:00,312,10,0,291,18,3,0,0,0,,,,
246675545449582_1502675606516230,photo,2017-12-10 23:28:00,24,12,0,24,0,0,0,0,0,,,,
246675545449582_1497272363723221,link,2017-12-08 02:37:00,16,9,0,15,1,0,0,0,0,,,,
246675545449582_1495724170544707,photo,2017-12-07 06:41:00,33,12,0,32,1,0,0,0,0,,,,
246675545449582_1492286100888514,photo,2017-12-05 01:25:00,675,10,0,645,29,1,0,0,0,,,,
246675545449582_1491577434292714,photo,2017-12-04 08:28:00,737,18,0,697,31,9,0,0,0,,,,
246675545449582_1490258864424571,photo,2017-12-03 01:40:00,572,16,0,554,16,2,0,0,0,,,,
